"master_id","version","delete_flg","file_name","file_size","content_type","binary_data","touroku_user_id","touroku_time","koushin_user_id","koushin_time"
"kaitenbi_heitenbi_master",1,"0","",0,"","","default",1999/01/01 0:00:00,"default",1999/01/01 0:00:00
"torihikisaki_furikomisaki_ext",1,"0","",0,"","","default",1999/01/01 0:00:00,"default",1999/01/01 0:00:00
