"gamen_id","gamen_name","bumon_shozoku_riyoukanou_flg","system_kanri_riyoukanou_flg","workflow_riyoukanou_flg","kaishasettei_riyoukanou_flg","keirishori_riyoukanou_flg","kinou_seigyo_cd"
"Suitouchou","現預金出納帳","1","1","1","1","1",""
"SuitouchouKakunin","現預金出納帳確認","1","0","0","0","0",""
"SuitouchouMeisai","現預金出納帳明細","1","1","1","1","1",""
"BumonTsukekaeSentaku","部門付替対象選択","1","1","1","1","1",""
"HaifuShousai","配賦詳細","1","1","1","1","1",""
"HaifuPatternSentaku","配賦パターン選択","1","1","1","1","1",""
"TenpuFileSentaku","添付ファイル選択","1","1","1","1","1",""
"ZaimuKyotenNyuryokuKihyoucyuuIchiran","起票中拠点入力一覧","1","0","0","0","0",""
"ZaimuKyotenNyuryokuShinseichuuIchiran","申請中拠点入力一覧","1","0","0","0","0",""
"ZaimuKyotenNyuryokuShouninmachiIchiran","承認待ち拠点入力一覧","1","0","0","0","0",""
