"master_id","master_name","henkou_kahi_flg","touroku_user_id","touroku_time","koushin_user_id","koushin_time"
"kaisha_info","会社情報","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"bumon_master","負担部門","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"kamoku_master","科目マスター","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"bumon_kamoku_zandaka","部門科目残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"kamoku_edaban_zandaka","科目枝番残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"torihikisaki","取引先","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"torihikisaki_master","取引先マスター","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"torihikisaki_kamoku_zandaka","取引先科目残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"segment_master","セグメントマスター","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"segment_kamoku_zandaka","セグメント科目残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf1_ichiran","ヘッダフィールド１一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf2_ichiran","ヘッダフィールド２一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf3_ichiran","ヘッダフィールド３一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf4_ichiran","ヘッダフィールド４一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf5_ichiran","ヘッダフィールド５一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf6_ichiran","ヘッダフィールド６一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf7_ichiran","ヘッダフィールド７一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf8_ichiran","ヘッダフィールド８一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf9_ichiran","ヘッダフィールド９一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"hf10_ichiran","ヘッダフィールド１０一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf1_ichiran","ユニバーサルフィールド１一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf1_zandaka","ユニバーサルフィールド１残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf2_ichiran","ユニバーサルフィールド２一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf2_zandaka","ユニバーサルフィールド２残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf3_ichiran","ユニバーサルフィールド３一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf3_zandaka","ユニバーサルフィールド３残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf4_ichiran","ユニバーサルフィールド４一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf4_zandaka","ユニバーサルフィールド４残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf5_ichiran","ユニバーサルフィールド５一覧","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"uf5_zandaka","ユニバーサルフィールド５残高","0","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
