"gyoumu_role_id","gyoumu_role_kinou_seigyo_cd","gyoumu_role_kinou_seigyo_kbn","touroku_user_id","touroku_time","koushin_user_id","koushin_time"
"00000","CO","1","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"00000","KR","1","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
"00000","WF","1","default",1999/01/01 00:00:00,"default",1999/01/01 00:00:00
