"gamen_id","gamen_name","bumon_shozoku_riyoukanou_flg","system_kanri_riyoukanou_flg","workflow_riyoukanou_flg","kaishasettei_riyoukanou_flg","keirishori_riyoukanou_flg","kinou_seigyo_cd"
"RyohiKaribaraiShinsei","旅費仮払申請","1","1","1","1","1",""
"KaigaiRyohiSeisan","海外旅費精算","1","1","1","1","1",""
"KaigaiRyohiKaribaraiShinsei","海外旅費仮払申請","1","1","1","1","1",""
"KoutsuuhiSeisan","交通費精算","1","1","1","1","1",""
"TsuukinTeikiShinsei","通勤定期申請","1","1","1","1","1",""
"FurikaeDenpyou","振替伝票","1","1","1","1","1",""
"SougouTsukekaeDenpyou","総合付替伝票","1","1","1","1","1",""
"JidouHikiotoshiDenpyou","自動引落伝票","1","1","1","1","1",""
"TorihikisakiSentaku","取引先選択","1","1","1","1","1",""
"ShiharaisakiSentaku","支払先選択","1","1","1","1","1",""
"TorihikiSentaku","取引（仕訳）選択","1","1","1","1","1",""
"FutanBumonSentaku","負担部門選択","1","1","1","1","1",""
"KanjyouKamokuSentaku","勘定科目選択","1","1","1","1","1",""
"KanjyouKamokuEdabanSentaku","勘定科目枝番選択","1","1","1","1","1",""
"KaribaraiAnkenSentaku","仮払案件選択","1","1","1","1","1",""
"UniversalSentaku","ユニバーサルフィールド選択","1","1","1","1","1",""
"HeaderSentaku","ヘッダーフィールド選択","1","1","1","1","1",""
"ProjectSentaku","プロジェクト選択","1","1","1","1","1",""
"SegmentSentaku","セグメント選択","1","1","1","1","1",""
"GinkouSentaku","銀行選択","1","1","1","1","1",""
"GinkouShitenSentaku","銀行支店選択","1","1","1","1","1",""
"DenpyouMeisai","伝票明細追加","1","1","1","1","1",""
"ShiharaiIraiMeisai","支払依頼明細追加","1","1","1","1","1",""
"RyohiKoutsuuhiMeisai","旅費交通費明細追加","1","1","1","1","1",""
"HeishuSentaku","幣種選択","1","1","1","1","1",""
"CSVDownload","CSVダウンロード","0","1","0","1","1","CS"
"FBDataSaiSakusei","FBデータ作成","0","1","0","1","1","FB"
"TorihikiIchiran","取引（仕訳）一覧","0","1","0","0","1",""
"BumonbetsuTorihikiIchiran","部門別取引（仕訳）一覧","0","1","0","0","1",""
"TorihikiTsuika","取引（仕訳）追加","0","1","0","0","1",""
"TorihikiHenkou","取引（仕訳）変更","0","1","0","0","1",""
"ShiwakeDataDe3Henkou","de3用仕訳データ変更","0","1","0","0","1",""
"ShiwakeDataSiasHenkou","SIAS用仕訳データ変更","0","1","0","0","1",""
"Shime","締","0","1","0","0","1",""
"KeihiMeisaihyo","経費明細一覧","1","1","1","1","1",""
"SyuukeiBumonSentaku","集計部門選択","1","1","1","1","1",""
"KeihiMeisaiDataKoushin","経費明細データ更新一覧","0","1","0","0","1",""
"HoujinCardRiyouMeisai","法人カード利用明細","0","1","0","0","1","HC"
"KaniTodokeTsuika","ユーザー定義届書追加","0","1","0","1","0","DS"
"KaniTodokeHenkou","ユーザー定義届書変更","0","1","0","1","0","DS"
"KaniTodokeIchiran","ユーザー定義届書一覧","0","1","0","1","0","DS"
"KaniTodokeTextAdd","ユーザー定義届書テキスト追加","0","1","0","1","0","DS"
"KaniTodokeRadioAdd","ユーザー定義届書ラジオ追加","0","1","0","1","0","DS"
"KaniTodokePullDownAdd","ユーザー定義届書プルダウン追加","0","1","0","1","0","DS"
"KaniTodokeCheckBoxAdd","ユーザー定義届書チェックボックス追加","0","1","0","1","0","DS"
"KaniTodokeTextAreaAdd","ユーザー定義届書テキストエリア追加","0","1","0","1","0","DS"
"KaniTodokeMasterItemAdd","ユーザー定義届書マスター追加","0","1","0","1","0","DS"
"KaniTodoke","ユーザー定義届書","1","1","1","1","1","DS"
"ShouninRouteTouroku","承認ルート登録画面","1","1","1","1","1","RH"
"BumonSuishouRouteIchiran","部門推奨ルート一覧","0","1","0","1","0",""
"BumonSuishouRouteTsuika","部門推奨ルート追加","0","1","0","1","0",""
"BumonSuishouRouteHenkou","部門推奨ルート変更","0","1","0","1","0",""
"ChuukiMongonSetteiIchiran","最終承認者・注記文言設定一覧","0","1","0","1","0",""
"ChuukiMongonSetteiTsuika","最終承認者・注記文言設定追加","0","1","0","1","0",""
"ChuukiMongonSetteiHenkou","最終承認者・注記文言設定変更","0","1","0","1","0",""
"Workflow","ワークフロー(共通インクルード)","1","1","1","1","1",""
"NiniMemo","任意メモ(共通インクルード)","1","1","1","1","1",""
"TenpuFile","添付ファイル(共通インクルード)","1","1","1","1","1",""
"DenpyouKyoutsuu","伝票共通","1","1","1","1","1",""
"KanrenDenpyouSentaku","関連伝票選択","1","1","1","1","1",""
"GougiBushoIchiran","合議部署一覧","0","1","0","1","0",""
"GougiBushoTsuika","合議部署追加","0","1","0","1","0",""
"GougiBushoHenkou","合議部署変更","0","1","0","1","0",""
"GougiBushoSentaku","合議部署小画面","1","1","1","1","1",""
"ShoriKengenTouroku","承認処理権限登録","0","1","0","1","0",""
"RailMapSentaku","路線図選択","1","1","1","1","1",""
"RouteSentaku","経路選択","1","1","1","1","1",""
"StationSentaku","駅名選択","1","1","1","1","1",""
"TeikiKukan","定期検索","1","1","1","1","1",""
"EteamEkispertIntra","駅すぱあとイントラ版","1","1","1","1","1",""
"NorikaeAnnaiKensaku","乗換案内検索","1","1","1","1","1",""
"KihyoucyuuDenpyouIchiran","起票中伝票一覧","1","0","0","0","0",""
"ShouninmachiDenpyouIchiran","承認待ち伝票一覧","1","0","1","0","0",""
"ShinseichuuDenpyouIchiran","申請中伝票一覧","1","0","0","0","0",""
"WorkflowEventC","伝票親画面","1","1","1","1","1",""
"Bookmark","お気に入り起票","1","0","0","0","0",""
"ShikkouJoukyouIchiran","執行状況一覧画面","1","1","1","1","1",""
"YosanShikkouShoriNengetsuSettei","予算執行処理年月設定画面","0","1","0","1","1",""
"KianKingakuCheck","起案金額チェック子画面","1","1","1","0","1",""
"YosanCheck","予算チェック子画面","1","1","1","0","1",""
"KianBangouBoHenkou","起案番号簿変更","0","1","0","1","0",""
